rank,peak,all_time_peak,actual_gross,adjusted_gross_in_2022_dollars,artist,tour_title,year_s,shows,average_gross,year_s_end
1,1,2,780000000,780000000,Taylor Swift,The Eras Tour,2023,56,13928571,2024
2,1,7,579800000,579800000,Beyonc,Renaissance World Tour,2023,56,10353571,
3,1,2,411000000,560622615,Madonna,Sticky & Sweet Tour,2008,85,4835294,2009
4,2,10,397300000,454751555,Pink,Beautiful Trauma World Tour,2018,156,2546795,2019
5,2,10,345675146,402844849,Taylor Swift,Reputation Stadium Tour,2018,53,6522173,
6,2,10,305158363,388978496,Madonna,The MDNA Tour,2012,88,3467709,
7,2,10,280000000,381932682,Celine Dion,Taking Chances World Tour,2008,131,2137405,2009
7,2,10,257600000,257600000,Pink,Summer Carnival,2023,41,6282927,2024
9,2,10,256084556,312258401,Beyonc,The Formation World Tour,2016,49,5226215,
10,2,10,250400000,309141878,Taylor Swift,The 1989 World Tour,2015,85,2945882,
11,2,10,229100000,283202896,Beyonc,The Mrs. Carter Show World Tour,2013,132,1735606,2014
12,2,14,227400000,295301479,Lady Gaga,The Monster Ball Tour,2009,203,1118227,2011
13,2,10,204000000,251856802,Katy Perry,Prismatic World Tour,2014,151,1350993,2015
14,1,10,200000000,299676265,Cher,Living Proof: The Farewell Tour,2002,325,615385,2005
15,2,10,194000000,281617035,Madonna,Confessions Tour,2006,60,3233333,
16,2,10,184000000,227452347,Pink,The Truth About Love Tour,2013,142,1295775,2014
17,2,10,170000000,213568571,Lady Gaga,Born This Way Ball,2012,98,1734694,2013
18,2,10,169800000,207046755,Madonna,Rebel Heart Tour,2015,82,2070732,2016
19,2,10,167700000,204486106,Adele,Adele Live 2016,2016,121,1385950,2017
20,2,10,150000000,185423109,Taylor Swift,The Red Tour,2013,86,1744186,2014
