Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
12/1/2008,Albury,13.4,22.9,0.6,NA,NA,W,44,W,WNW,20,24
12/2/2008,Albury,7.4,25.1,0,NA,NA,WNW,44,NNW,WSW,4,22
12/3/2008,Albury,12.9,25.7,0,NA,NA,WSW,46,W,WSW,19,26
12/4/2008,Albury,9.2,28,0,NA,NA,NE,24,SE,E,11,9
12/5/2008,Albury,17.5,32.3,1,,NA,W,41,ENE,NW,7,20
12/6/2008,Albury,14.6,29.7,0.2,NA,NA,WNW,56,W,W,19,24
12/7/2008,Albury,14.3,25,0,NA,NA,W,50,SW,W,20,24
12/8/2008,Albury,7.7,26.7,0,NA,NA,W,35,SSE,W,6,17
12/9/2008,Albury,9.7,31.9,0,NA,NA,NNW,80,SE,NW,7,28
12/10/2008,Albury,13.1,30.1,1.4,NA,NA,W,28,S,SSE,15,11
12/11/2008,Albury,13.4,30.4,0,NA,NA,N,30,SSE,ESE,17,6
12/8/2008,Albury,7.7,26.7,0,NA,NA,W,35,SSE,W,6,17
12/9/2008,Albury,9.7,NA,0,NA,NA,NNW,80,NA,NW,7,NA
12/10/2008,Albury,13.1,NA,1.4,NA,NA,W,28,NA,SSE,15,NA
12/11/2008,Albury,13.4,NA,0,NA,NA,N,30,NA,ESE,17,NA
